Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  Path* std::__uninitialized_move_if_noexcept_a<Path*, Path*, std::allocator<Path> >(Path*, Path*, Path*, std::allocator<Path>&)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Status>::new_allocator()
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::operator!=<Path*, std::vector<Path, std::allocator<Path> > >(__gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > > const&, __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > > const&)
  0.00      0.00     0.00        3     0.00     0.00  std::allocator<Status>::allocator()
  0.00      0.00     0.00        3     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Path*>(Path*, Path*)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Path, std::allocator<Path> >::_M_deallocate(Path*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_Vector_base()
  0.00      0.00     0.00        3     0.00     0.00  Edge* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<Edge>(Edge const*, Edge const*, Edge*)
  0.00      0.00     0.00        3     0.00     0.00  std::vector<Path, std::allocator<Path> >::begin()
  0.00      0.00     0.00        3     0.00     0.00  std::vector<Status, std::allocator<Status> >::vector()
